State,Head of state (USD),Head of government (USD),Head of state salary divided by GDP [1 per million],Head of government salary divided by GDP [1 per million],Head of state salary divided by GDP per capita,Head of government salary divided by GDP per capita
South Sudan,"60,000 USD (President)[150]","60,000 USD (President)[150]",20.9059,20.9059,263.1579,263.1579
Spain,"769,050 USD (King) royal grant[151][9]","97,926 USD (Prime Minister)[18]",,0.0745,,3.4531
Sri Lanka,"7,380 USD (President)[152]","5,600 USD (Prime Minister)[152]",0.0843,0.0639,1.8071,1.3712
Sudan,"29,320 USD (President)[7]",,0.5034,,20.5322,
Suriname,"133,560 USD (President)[153][154]","116,870 USD (Vice President)[153]",36.442,31.8881,23.244,20.3394
Eswatini,"56,051,336 USD (King) royal grant[155][156]","51,600 USD (Prime Minister)[7][157]",13908.5201,12.804,14317.0718,13.1801
Sweden,"15,752,000 USD (King) royal grant[9]","244,615 USD (Prime Minister)[18]",29.2476,0.4542,295.9901,4.5965
Switzerland,"507,000 USD (President)[158]","495,000 USD (Federal Council)[159]",0.7472,0.7295,6.291,6.1421
Syria,"576,000 USD","18,285 USD (Prime Minister)[160]",,0.2361,,
Taiwan,"180,000 USD (President)[161]","121,500 USD (Premier)[161]",,,
Tajikistan,"13,200 USD (President)[83][84]",,1.8247,,16.0194,
Tanzania,"47,300 USD (President)[7][56]","45,000 USD (Prime Minister)[162]",0.9145,,45.7447,
Thailand,"84,000,000 USD (King) budget allocation to the Bureau of the Royal Household[163]","49,728 USD (Prime Minister)[31]",,0.1092,,7.5448
Togo,,,,,,
Tonga,"2,129,540 USD (King) royal grant[164]","41,504 USD (Prime Minister)[165]",4873.0892,94.9748,509.8252,9.9363
Trinidad and Tobago,"54,600 USD (President)[166]","85,600 USD (Prime Minister)[167]",2.6897,4.2167,3.4625,5.4284
Tunisia,"16,700 USD (President)[7]","33,355 USD (Prime Minister)[168]",0.4146,,4.7769,
Turkey,"197,400 USD (President)[33]","197,400 USD (President)[33]",0.2324,0.2324,18.7785,18.7785
Turkmenistan,"10,800 USD (President)[169]","10,800 USD (President)[169]",0.2848,0.2848,1.6258,1.6258
Tuvalu,"17,660 USD (Governor-General)[170]","19,808 USD (Prime Minister)[170]",441.5,495.2,4.8543,5.4447
Uganda,"183,216 USD (President)[7]",,6.9534,,262.1116,
Ukraine,"11,600 USD (President)[171]","3,840 USD (Prime Minister)[171]",0.1061,0.0351,4.4909,1.4866
United Arab Emirates,"4,608,273,000 USD (President) privy purse","261,400 USD (Prime Minister)[172]",,,,
United States,"400,000 USD (President)[7]","400,000 USD (President)[7]",0.0206,0.0206,6.7226,6.7226
United Kingdom,"122,442,508 USD (Queen) royal grant[18]","185,500 USD (Prime Minister) [173]",40.9187,0.0823,2702.7126,5.4355
Uruguay,"139,608 USD (President)[32]","139,608 USD (President)[32]",2.3899,2.3899,8.3488,8.3488
Uzbekistan,"15,600 USD (President)[83][84]",,0.3258,,10.4628,
Vanuatu,"32,295 USD (President)[174]","32,295 USD (Prime Minister)[174]",38.5842,38.5842,10.4379,10.4379
Vatican City,0 USD (Pope)[9],0 USD (Pope)[9],,,,
Venezuela,"48,816 USD (President)[32]","48,816 USD (President)[32]",0.2324,,7.3034,
Vietnam,"8,320 USD (President)[175]","8,000 USD (Prime Minister)[175][176]",0.0377,0.0363,3.5344,3.3985
Yemen,"15,300 USD (President)[177]","12,040 USD (Prime Minister)[177]",0.9267,0.7292,27.7677,21.8512
Zambia,"63,100 USD (President)[178][7]","43,800 USD (Vice President)[179]",2.5094,,43.2432,
Zimbabwe,"146,590 USD (President)[7]","146,590 USD (President)[7]",8.57,8.57,124.6514,124.6514
